3352-87-2	Developmental Toxicity-fetal death mouse
145040-37-5	Human Adverse Urinary Effects -nephropathy; Human Adverse Cardiological Effects -coronary artery; Developmental Toxicity-visceral mouse; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Hepatobiliary Effects -bile duct; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
115-63-9	Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation
791-35-5	Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation
200707-85-3	Reproductive Toxicity-cell transformation; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Reproductive Toxicity -repro rodent female; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Reproductive Toxicity-carc rat; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation
223652-90-2	Human Adverse Urinary Effects -nephropathy; Human Adverse Cardiological Effects -coronary artery; Genetic Toxicity -UDS human lymphocytes; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -arrhythmia; Reproductive Toxicity-carc rat; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Genetic Toxicity -UDS; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Cardiological Effects -heart failure; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rat; Human Adverse Cardiological Effects -QT prolongation; Human Adverse Cardiological Effects -myocardial infarct; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
786-19-6	Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Human Adverse Cardiological Effects -arrhythmia; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation
82419-36-1	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -In vitro composite; Human Adverse Cardiological Effects -arrhythmia; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rat; Human Adverse Cardiological Effects -QT prolongation; Developmental Toxicity-fetal death rodent
83881-52-1	Reproductive Toxicity-cell transformation; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent female; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation
99592-39-9	Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation; Human Adverse Urinary Effects -kidney
50-53-3	Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Developmental Toxicity-visceral mouse; Genetic Toxicity -E. coli; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Genetic Toxicity -micronucleus mouse; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Human Adverse Cardiological Effects -QT prolongation
69-09-0	Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Developmental Toxicity-visceral mouse; Genetic Toxicity -E. coli; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Genetic Toxicity -micronucleus mouse; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Human Adverse Cardiological Effects -QT prolongation
58-39-9	Developmental Toxicity-structural rodent; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Genetic Toxicity -micronucleus mouse; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Human Adverse Cardiological Effects -QT prolongation
191114-48-4	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-visceral rat; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation; Human Adverse Urinary Effects -kidney
800-22-6	Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -rate rhythm; Genetic Toxicity -E. coli; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat
15500-66-0	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Reproductive Toxicity -sperm rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-retardation rabbit; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Human Adverse Cardiological Effects -arrhythmia; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Developmental Toxicity-structural rabbit; Developmental Toxicity-fetal death rat; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent; Reproductive Toxicity-carc rat male
156137-99-4	Developmental Toxicity-post impl. loss mouse; Developmental Toxicity-retardation rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-retardation rabbit; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rat; Developmental Toxicity-fetal death rodent
2062-78-4	Reproductive Toxicity-cell transformation; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation
26864-56-2	Developmental Toxicity-retardation rat; Reproductive Toxicity -sperm rat; Human Adverse Cardiological Effects -rate rhythm; Developmental Toxicity-pre impl. loss rat; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Human Adverse Cardiological Effects -QT prolongation
50700-72-6	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Reproductive Toxicity -sperm rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-retardation rabbit; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Human Adverse Cardiological Effects -arrhythmia; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Developmental Toxicity-fetal death rat; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent; Reproductive Toxicity-carc rat male
30223-48-4	Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -torsades; Reproductive Toxicity-carc rat male
33414-30-1	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -torsades
33414-36-7	Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -torsades; Human Adverse Cardiological Effects -QT prolongation
36177-92-1	Human Adverse Cardiological Effects -coronary artery; Human Adverse Cardiological Effects -rate rhythm; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-weight dec. rodent; Human Adverse Cardiological Effects -heart failure; Developmental Toxicity-structural rabbit; Developmental Toxicity-fetal death rat; Human Adverse Cardiological Effects -QT prolongation; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent; Human Adverse Cardiological Effects -myocardial infarct
